                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77856,                 0.5533,                 1.1223,                0.93065,                0.93397,                0.97807,                0.80234,                0.74704,                0.42613,                 1.1944,              0.0093268,              0.0093268,              0.0093268
                     36,                0.77841,                0.56747,                 1.1083,                0.93681,                0.95145,                0.98127,                0.80953,                0.73133,                0.39871,                 1.1824,               0.009307,               0.009307,               0.009307
                     37,                0.77482,                0.54214,                 1.1163,                0.93587,                0.94908,                0.98145,                0.80735,                0.72585,                0.39609,                 1.1786,              0.0092872,              0.0092872,              0.0092872
                     38,                0.77516,                0.54159,                 1.1266,                0.94524,                 0.9414,                0.98393,                 0.8071,                0.72227,                0.39117,                 1.1786,              0.0092674,              0.0092674,              0.0092674
                     39,                0.77535,                0.56198,                 1.1168,                0.92836,                0.95174,                0.98332,                0.80726,                0.73803,                0.40963,                 1.1835,              0.0092476,              0.0092476,              0.0092476
                     40,                0.77825,                0.54945,                 1.1218,                0.92988,                0.94283,                0.98427,                0.80166,                0.76386,                0.40517,                 1.2141,              0.0092278,              0.0092278,              0.0092278
                     41,                0.77552,                0.53328,                 1.1223,                0.91115,                0.92738,                0.96532,                0.79228,                0.72805,                0.49261,                  1.179,               0.009208,               0.009208,               0.009208
                     42,                0.77203,                 0.5556,                  1.119,                0.93824,                0.92758,                0.97938,                0.80234,                0.75085,                0.41302,                 1.2033,              0.0091882,              0.0091882,              0.0091882
                     43,                 0.7722,                0.53137,                 1.1176,                0.94405,                0.94227,                0.98041,                0.81827,                0.71757,                0.38955,                 1.1763,              0.0091684,              0.0091684,              0.0091684
                     44,                0.76056,                0.52108,                 1.1114,                0.94352,                0.94167,                0.98113,                0.81739,                0.71426,                0.39787,                 1.1664,              0.0091486,              0.0091486,              0.0091486
                     45,                0.75963,                0.52914,                 1.1151,                0.93766,                0.92981,                0.98116,                0.81157,                0.71228,                0.40976,                 1.1661,              0.0091288,              0.0091288,              0.0091288
                     46,                0.76453,                0.54736,                 1.1114,                0.95355,                0.92924,                0.98024,                0.80836,                0.72948,                  0.411,                 1.1782,               0.009109,               0.009109,               0.009109
                     47,                0.76475,                0.54139,                 1.1117,                0.94088,                0.94435,                0.97916,                0.80486,                0.72783,                0.39588,                 1.1827,              0.0090892,              0.0090892,              0.0090892
                     48,                0.76151,                0.53453,                 1.1078,                0.95739,                0.90935,                0.97703,                0.81522,                0.70785,                0.41716,                 1.1504,              0.0090694,              0.0090694,              0.0090694
                     49,                0.75778,                0.52654,                  1.105,                0.95331,                0.90937,                0.97373,                0.80836,                0.71369,                0.41449,                 1.1698,              0.0090496,              0.0090496,              0.0090496
                     50,                0.74393,                 0.5129,                 1.1051,                0.95719,                0.90957,                0.97789,                0.81004,                0.70492,                0.39843,                 1.1661,              0.0090298,              0.0090298,              0.0090298
                     51,                0.75561,                0.51561,                 1.1146,                0.95363,                0.94551,                0.98305,                0.82337,                 0.7029,                0.36094,                 1.1684,                0.00901,                0.00901,                0.00901
                     52,                 0.7454,                0.49921,                 1.0993,                0.92139,                0.95464,                0.98433,                0.82563,                0.70555,                0.37982,                 1.1743,              0.0089902,              0.0089902,              0.0089902
                     53,                0.73766,                0.49483,                 1.1033,                0.93018,                0.94858,                0.97533,                0.80619,                0.71311,                0.40667,                 1.1638,              0.0089704,              0.0089704,              0.0089704
                     54,                0.73755,                0.49275,                 1.1121,                0.95269,                0.95047,                0.98483,                0.81631,                0.71331,                0.37436,                 1.1731,              0.0089506,              0.0089506,              0.0089506
                     55,                0.73727,                0.51621,                 1.0951,                0.93186,                0.94784,                0.98311,                0.81726,                0.71562,                0.38484,                 1.1698,              0.0089308,              0.0089308,              0.0089308
                     56,                0.73289,                0.49881,                 1.0973,                0.95909,                0.92562,                0.98163,                0.82047,                0.70987,                0.39312,                 1.1848,               0.008911,               0.008911,               0.008911
                     57,                0.74122,                0.48123,                 1.1013,                0.94125,                0.94131,                0.97998,                0.81818,                0.70969,                 0.3886,                 1.1574,              0.0088912,              0.0088912,              0.0088912
                     58,                0.72566,                0.49245,                  1.085,                0.92196,                0.95264,                0.98229,                0.82095,                0.70467,                0.37596,                 1.1558,              0.0088714,              0.0088714,              0.0088714
                     59,                0.73361,                0.49236,                 1.0982,                 0.9397,                0.95319,                0.98106,                 0.8109,                0.73947,                0.38473,                 1.1932,              0.0088516,              0.0088516,              0.0088516
                     60,                0.72976,                0.48778,                 1.1005,                0.94187,                0.94258,                 0.9822,                0.82582,                0.68824,                0.37078,                 1.1565,              0.0088318,              0.0088318,              0.0088318
