                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 0.6381,                 0.3806,                 1.0501,                0.95853,                0.96875,                0.98851,                0.85627,                0.64161,                0.27999,                 1.1064,              0.0070102,              0.0070102,              0.0070102
                    153,                0.64834,                0.38138,                 1.0522,                 0.9719,                0.96332,                0.99096,                0.85311,                0.64283,                0.28035,                 1.1128,              0.0069904,              0.0069904,              0.0069904
                    154,                 0.6445,                0.37334,                 1.0454,                0.96739,                0.96313,                0.99098,                0.85303,                0.64614,                0.28979,                 1.1127,              0.0069706,              0.0069706,              0.0069706
                    155,                0.65281,                0.39579,                 1.0521,                0.95724,                 0.9611,                0.98835,                0.85677,                0.63682,                0.29476,                  1.103,              0.0069508,              0.0069508,              0.0069508
                    156,                0.64979,                 0.3902,                 1.0525,                 0.9626,                0.95781,                0.98848,                0.84847,                0.64776,                0.28736,                 1.1057,               0.006931,               0.006931,               0.006931
                    157,                 0.6516,                0.40199,                 1.0572,                0.94969,                0.97322,                0.98709,                 0.8545,                0.64596,                0.29723,                 1.1089,              0.0069112,              0.0069112,              0.0069112
                    158,                0.63972,                0.37873,                 1.0485,                  0.958,                0.97156,                0.98721,                0.85472,                0.64372,                0.28907,                 1.1091,              0.0068914,              0.0068914,              0.0068914
                    159,                0.66153,                0.40259,                 1.0654,                0.96327,                0.96538,                0.98776,                0.85251,                0.64934,                0.29118,                 1.1117,              0.0068716,              0.0068716,              0.0068716
                    160,                 0.6282,                0.37678,                 1.0376,                0.95853,                0.96494,                 0.9861,                 0.8538,                0.64458,                  0.307,                 1.1176,              0.0068518,              0.0068518,              0.0068518
                    161,                0.62769,                0.37942,                 1.0402,                0.95852,                0.96026,                0.98679,                0.85322,                0.64405,                0.29695,                 1.1221,               0.006832,               0.006832,               0.006832
                    162,                 0.6484,                0.39265,                 1.0564,                0.95044,                0.96985,                0.98715,                 0.8558,                0.62876,                0.29333,                 1.0961,              0.0068122,              0.0068122,              0.0068122
                    163,                0.63679,                0.38118,                  1.045,                0.95037,                0.97143,                 0.9872,                0.85662,                0.63678,                0.28969,                 1.1039,              0.0067924,              0.0067924,              0.0067924
                    164,                0.63554,                0.37804,                 1.0472,                0.96716,                0.96569,                0.98944,                0.85777,                0.64059,                0.28535,                 1.1086,              0.0067726,              0.0067726,              0.0067726
                    165,                0.64478,                0.38507,                 1.0544,                0.96434,                0.96892,                0.98897,                0.85483,                0.64568,                0.28177,                 1.1149,              0.0067528,              0.0067528,              0.0067528
                    166,                0.63695,                0.37688,                 1.0453,                0.96753,                0.96789,                 0.9888,                0.85465,                0.64206,                0.27644,                 1.1101,               0.006733,               0.006733,               0.006733
                    167,                0.62693,                0.37611,                 1.0384,                0.96022,                0.96714,                0.98756,                0.85178,                0.65159,                 0.2894,                  1.114,              0.0067132,              0.0067132,              0.0067132
                    168,                0.63305,                0.37765,                  1.045,                0.95875,                0.96301,                0.98775,                0.85084,                0.64583,                0.28894,                  1.117,              0.0066934,              0.0066934,              0.0066934
                    169,                0.63192,                0.37813,                 1.0427,                0.95701,                0.96854,                0.98764,                0.85522,                0.63815,                0.28914,                 1.1031,              0.0066736,              0.0066736,              0.0066736
                    170,                0.63674,                0.38326,                 1.0439,                0.96983,                0.96188,                0.98825,                0.85555,                0.64147,                0.28649,                 1.1023,              0.0066538,              0.0066538,              0.0066538
                    171,                0.62836,                0.38108,                 1.0431,                0.95627,                0.96475,                0.98735,                0.85808,                0.63366,                0.29195,                 1.0952,               0.006634,               0.006634,               0.006634
                    172,                0.63943,                0.38026,                 1.0517,                0.95792,                0.96664,                0.98871,                0.85051,                0.63863,                0.29411,                 1.1061,              0.0066142,              0.0066142,              0.0066142
                    173,                0.63306,                0.36811,                 1.0413,                 0.9586,                0.96948,                0.98883,                0.85758,                 0.6322,                0.28524,                 1.1054,              0.0065944,              0.0065944,              0.0065944
                    174,                0.63297,                0.37423,                 1.0452,                0.96647,                0.96551,                   0.99,                 0.8565,                0.63329,                0.28434,                 1.1041,              0.0065746,              0.0065746,              0.0065746
                    175,                0.62469,                0.37958,                 1.0403,                0.97213,                 0.9696,                 0.9907,                0.85761,                0.63909,                0.27922,                 1.1039,              0.0065548,              0.0065548,              0.0065548
                    176,                0.62361,                0.37481,                 1.0427,                0.96795,                0.96661,                0.98859,                0.85791,                0.64278,                0.28355,                 1.1025,               0.006535,               0.006535,               0.006535
                    177,                0.62647,                0.38284,                 1.0418,                0.96659,                0.96904,                0.99005,                0.86086,                0.63394,                0.28213,                 1.1048,              0.0065152,              0.0065152,              0.0065152
                    178,                0.62717,                0.37845,                 1.0412,                0.96755,                0.97051,                0.98871,                0.85429,                0.63877,                0.28425,                 1.1063,              0.0064954,              0.0064954,              0.0064954
                    179,                0.62036,                0.35932,                  1.046,                0.97706,                0.95635,                0.98853,                0.85703,                0.63886,                0.27664,                 1.1006,              0.0064756,              0.0064756,              0.0064756
                    180,                0.64418,                0.37412,                  1.049,                0.95232,                0.96651,                0.98944,                0.85275,                 0.6454,                0.29217,                  1.107,              0.0064558,              0.0064558,              0.0064558
                    181,                0.63585,                0.37176,                 1.0527,                0.95064,                0.97138,                0.98906,                0.85405,                0.64061,                0.28794,                 1.1042,               0.006436,               0.006436,               0.006436
                    182,                0.63867,                0.37423,                 1.0504,                 0.9551,                0.97423,                0.98937,                0.85746,                0.64549,                0.28341,                 1.1085,              0.0064162,              0.0064162,              0.0064162
                    183,                0.62141,                0.36695,                 1.0358,                0.96486,                0.96256,                0.98872,                0.85859,                0.63805,                0.27366,                 1.1093,              0.0063964,              0.0063964,              0.0063964
                    184,                0.62335,                0.36663,                 1.0352,                0.96807,                0.95877,                0.98806,                0.86047,                0.63323,                0.27492,                 1.0984,              0.0063766,              0.0063766,              0.0063766
                    185,                0.62621,                0.36846,                 1.0382,                0.94273,                0.97409,                0.98737,                0.86122,                0.62364,                0.27875,                 1.0906,              0.0063568,              0.0063568,              0.0063568
                    186,                0.62955,                0.36609,                 1.0391,                0.96544,                0.96991,                0.98895,                0.86152,                0.63503,                   0.27,                 1.1014,               0.006337,               0.006337,               0.006337
                    187,                0.63038,                0.36907,                 1.0425,                0.96074,                0.97148,                0.98829,                0.85959,                0.62917,                0.27366,                 1.0954,              0.0063172,              0.0063172,              0.0063172
                    188,                0.62867,                0.36988,                 1.0432,                0.97181,                0.96977,                0.98866,                0.85978,                0.63105,                0.27018,                 1.1005,              0.0062974,              0.0062974,              0.0062974
                    189,                0.61235,                0.36166,                 1.0311,                0.96269,                0.97431,                0.98795,                0.85629,                0.63613,                0.27681,                 1.1013,              0.0062776,              0.0062776,              0.0062776
                    190,                0.62608,                0.37568,                 1.0368,                0.95772,                0.97445,                  0.988,                0.85709,                0.63578,                0.28121,                 1.1062,              0.0062578,              0.0062578,              0.0062578
                    191,                0.61507,                0.35969,                 1.0405,                0.96139,                0.97687,                0.99012,                 0.8576,                0.63553,                 0.2784,                 1.1027,               0.006238,               0.006238,               0.006238
                    192,                0.62621,                0.37172,                 1.0399,                0.96419,                0.97392,                0.98807,                0.86008,                0.63651,                0.27323,                 1.1043,              0.0062182,              0.0062182,              0.0062182
                    193,                0.61529,                0.35802,                 1.0339,                0.95912,                0.97556,                0.98906,                0.86308,                0.63662,                0.27127,                 1.1018,              0.0061984,              0.0061984,              0.0061984
                    194,                0.61824,                0.36643,                  1.036,                0.95909,                0.97302,                0.98805,                0.85754,                0.63389,                0.27514,                 1.1017,              0.0061786,              0.0061786,              0.0061786
                    195,                0.62711,                0.37306,                 1.0414,                0.95708,                0.97204,                 0.9883,                0.85978,                0.63105,                0.27254,                  1.099,              0.0061588,              0.0061588,              0.0061588
                    196,                0.62274,                 0.3595,                 1.0362,                0.95762,                0.97073,                0.98989,                0.86076,                0.63189,                0.27638,                 1.0994,               0.006139,               0.006139,               0.006139
                    197,                0.61479,                0.34935,                 1.0374,                0.95755,                0.97026,                0.98763,                0.86047,                0.63603,                0.28242,                 1.0982,              0.0061192,              0.0061192,              0.0061192
                    198,                 0.6329,                0.36619,                 1.0512,                0.95289,                0.97076,                0.98755,                0.86051,                0.63385,                0.28049,                 1.0983,              0.0060994,              0.0060994,              0.0060994
                    199,                0.60931,                 0.3596,                 1.0348,                0.95297,                0.96561,                0.98723,                0.85839,                 0.6354,                0.28498,                  1.102,              0.0060796,              0.0060796,              0.0060796
                    200,                0.62005,                0.37257,                 1.0387,                0.95286,                0.97436,                 0.9873,                0.85694,                0.63306,                0.28368,                 1.1024,              0.0060598,              0.0060598,              0.0060598
                    201,                0.61238,                 0.3609,                 1.0338,                0.95567,                0.96944,                0.98718,                0.85448,                0.63754,                0.27918,                 1.1078,                0.00604,                0.00604,                0.00604
                    202,                0.62315,                0.35726,                 1.0429,                0.95828,                0.96794,                0.98817,                0.85839,                0.63808,                0.27563,                 1.1083,              0.0060202,              0.0060202,              0.0060202
                    203,                0.61263,                0.35813,                 1.0336,                0.95366,                0.97016,                0.98816,                0.85614,                0.63852,                0.27588,                 1.1084,              0.0060004,              0.0060004,              0.0060004
                    204,                0.60949,                0.36262,                  1.025,                0.95999,                0.96443,                0.98806,                0.85877,                0.63403,                0.27829,                 1.1029,              0.0059806,              0.0059806,              0.0059806
                    205,                0.61069,                0.35504,                 1.0332,                0.95799,                0.96607,                0.98848,                0.85905,                0.63772,                0.27892,                 1.1082,              0.0059608,              0.0059608,              0.0059608
                    206,                0.60421,                0.35035,                 1.0345,                 0.9588,                0.96787,                0.98818,                0.86066,                0.63194,                0.27376,                    1.1,               0.005941,               0.005941,               0.005941
                    207,                 0.6128,                0.35814,                  1.032,                0.96461,                0.96878,                0.98914,                0.86015,                0.63228,                0.26869,                 1.0991,              0.0059212,              0.0059212,              0.0059212
                    208,                0.60653,                0.35653,                 1.0287,                0.96248,                0.96571,                0.98858,                0.86238,                0.63041,                 0.2701,                 1.0967,              0.0059014,              0.0059014,              0.0059014
                    209,                0.60464,                0.34294,                 1.0313,                0.95864,                 0.9719,                0.98785,                0.86352,                0.63174,                0.27274,                 1.0994,              0.0058816,              0.0058816,              0.0058816
                    210,                0.61615,                0.34935,                  1.037,                0.95239,                0.97574,                0.98852,                0.86278,                0.63208,                0.27223,                 1.1004,              0.0058618,              0.0058618,              0.0058618
                    211,                0.62901,                0.35465,                 1.0416,                0.95642,                0.96894,                0.98798,                0.86324,                0.63266,                0.27638,                    1.1,               0.005842,               0.005842,               0.005842
                    212,                0.61032,                0.35258,                  1.026,                0.95662,                0.97263,                0.98858,                 0.8612,                0.63024,                0.27463,                 1.1015,              0.0058222,              0.0058222,              0.0058222
                    213,                0.61393,                0.36365,                 1.0333,                 0.9655,                0.96333,                0.98849,                0.86134,                 0.6285,                0.27466,                 1.1031,              0.0058024,              0.0058024,              0.0058024
                    214,                0.61821,                 0.3567,                 1.0392,                0.96584,                 0.9622,                0.98896,                0.86298,                0.62795,                0.27045,                 1.0998,              0.0057826,              0.0057826,              0.0057826
                    215,                0.60728,                0.35803,                 1.0335,                0.96152,                0.96838,                0.98816,                0.86766,                0.62544,                 0.2752,                 1.0966,              0.0057628,              0.0057628,              0.0057628
                    216,                0.61331,                0.35643,                 1.0323,                 0.9587,                0.96918,                0.98719,                0.86486,                0.62516,                0.27639,                  1.099,               0.005743,               0.005743,               0.005743
                    217,                0.60954,                0.35471,                 1.0297,                0.95188,                 0.9728,                0.98739,                0.86298,                0.62314,                0.27427,                 1.0932,              0.0057232,              0.0057232,              0.0057232
                    218,                 0.5874,                0.33648,                 1.0228,                0.95811,                0.97404,                0.98834,                 0.8656,                0.62513,                0.26607,                 1.0974,              0.0057034,              0.0057034,              0.0057034
                    219,                0.60341,                0.35429,                  1.029,                0.95383,                0.97508,                0.98805,                0.86271,                0.62256,                 0.2675,                 1.0906,              0.0056836,              0.0056836,              0.0056836
                    220,                0.61761,                0.35694,                 1.0348,                0.95498,                0.97381,                0.98849,                0.86207,                 0.6286,                0.26503,                 1.0975,              0.0056638,              0.0056638,              0.0056638
                    221,                0.59763,                0.34714,                 1.0309,                0.96035,                0.96933,                0.98893,                0.86145,                0.62661,                0.26695,                 1.0984,               0.005644,               0.005644,               0.005644
                    222,                0.62079,                 0.3575,                 1.0456,                0.95684,                0.97306,                0.98895,                0.85879,                0.62843,                0.27135,                 1.0964,              0.0056242,              0.0056242,              0.0056242
                    223,                0.61035,                0.34349,                 1.0346,                0.96232,                0.97096,                0.98834,                0.86042,                0.62765,                0.27143,                 1.0967,              0.0056044,              0.0056044,              0.0056044
                    224,                0.60719,                 0.3486,                 1.0306,                0.96688,                 0.9611,                0.98847,                0.86033,                0.62579,                0.27168,                 1.0977,              0.0055846,              0.0055846,              0.0055846
                    225,                0.60666,                0.35238,                 1.0267,                0.96162,                 0.9602,                0.98806,                0.86163,                0.62956,                0.27299,                 1.1034,              0.0055648,              0.0055648,              0.0055648
                    226,                0.61615,                0.35691,                 1.0366,                0.95982,                0.96282,                0.98848,                0.85991,                0.62966,                0.27293,                 1.1031,               0.005545,               0.005545,               0.005545
                    227,                 0.5929,                0.33955,                 1.0234,                0.95524,                0.97147,                0.98867,                0.86055,                 0.6302,                0.27333,                 1.1019,              0.0055252,              0.0055252,              0.0055252
                    228,                0.59715,                 0.3397,                 1.0281,                0.95296,                0.96607,                0.98839,                0.86178,                0.62795,                0.27455,                    1.1,              0.0055054,              0.0055054,              0.0055054
                    229,                0.59782,                0.34666,                  1.027,                0.96297,                0.95857,                0.98931,                0.86321,                0.62999,                0.27635,                 1.1029,              0.0054856,              0.0054856,              0.0054856
                    230,                0.60346,                   0.35,                 1.0286,                0.95695,                0.96755,                0.98787,                0.86309,                0.62642,                0.27629,                 1.1017,              0.0054658,              0.0054658,              0.0054658
                    231,                0.60004,                0.34394,                 1.0297,                0.95642,                0.96429,                0.98768,                0.86397,                0.62436,                0.27682,                 1.1021,               0.005446,               0.005446,               0.005446
                    232,                0.61155,                0.35509,                 1.0318,                 0.9586,                 0.9632,                0.98824,                0.86474,                0.62257,                 0.2753,                 1.0989,              0.0054262,              0.0054262,              0.0054262
                    233,                0.61212,                 0.3517,                 1.0255,                0.95424,                0.96678,                0.98843,                0.86486,                0.62381,                0.27166,                 1.0997,              0.0054064,              0.0054064,              0.0054064
                    234,                0.59336,                0.33998,                  1.019,                0.96075,                0.96841,                0.98874,                0.86597,                0.62218,                0.27182,                 1.0994,              0.0053866,              0.0053866,              0.0053866
                    235,                0.59748,                0.35123,                 1.0216,                0.95912,                0.97251,                0.98877,                0.86655,                0.61956,                0.26858,                 1.0977,              0.0053668,              0.0053668,              0.0053668
                    236,                0.59416,                 0.3417,                 1.0163,                 0.9566,                0.97291,                0.98849,                0.86451,                0.62234,                0.26801,                 1.0996,               0.005347,               0.005347,               0.005347
                    237,                0.59632,                0.34071,                 1.0279,                0.95351,                0.97606,                0.98816,                0.86456,                0.62197,                0.26852,                 1.0997,              0.0053272,              0.0053272,              0.0053272
                    238,                0.60704,                0.33963,                 1.0299,                0.95959,                0.97022,                0.98805,                0.86587,                 0.6196,                0.27123,                 1.0943,              0.0053074,              0.0053074,              0.0053074
                    239,                0.59404,                0.33907,                 1.0244,                0.95404,                0.97173,                 0.9885,                0.86647,                0.62168,                0.26936,                 1.0977,              0.0052876,              0.0052876,              0.0052876
                    240,                 0.5953,                0.34185,                 1.0191,                0.95079,                0.97588,                0.98865,                0.86448,                0.62213,                0.26836,                 1.0998,              0.0052678,              0.0052678,              0.0052678
                    241,                 0.5897,                0.32905,                 1.0206,                0.95864,                0.97386,                0.98907,                0.86411,                0.62019,                 0.2659,                 1.0975,               0.005248,               0.005248,               0.005248
                    242,                0.59147,                0.33669,                 1.0185,                0.95447,                0.97781,                0.98888,                0.86447,                0.61979,                0.26763,                 1.0979,              0.0052282,              0.0052282,              0.0052282
                    243,                0.59148,                0.33802,                 1.0207,                0.95521,                0.97603,                0.98876,                 0.8647,                0.62312,                0.26415,                 1.0998,              0.0052084,              0.0052084,              0.0052084
                    244,                 0.5903,                0.33637,                 1.0251,                0.96006,                0.97054,                0.98841,                0.86568,                 0.6245,                 0.2629,                 1.1013,              0.0051886,              0.0051886,              0.0051886
                    245,                0.59245,                 0.3329,                 1.0204,                0.95909,                0.97259,                0.98892,                0.86577,                0.62383,                0.26195,                 1.1005,              0.0051688,              0.0051688,              0.0051688
                    246,                0.59177,                0.33795,                 1.0179,                 0.9574,                0.97693,                0.98901,                0.86641,                0.62492,                0.26034,                 1.1018,               0.005149,               0.005149,               0.005149
                    247,                0.59008,                0.33742,                 1.0234,                0.95991,                0.97281,                0.98845,                 0.8672,                0.62527,                0.26143,                 1.1026,              0.0051292,              0.0051292,              0.0051292
                    248,                0.59368,                0.34119,                 1.0234,                0.95789,                0.97456,                 0.9881,                0.86655,                0.62401,                0.26133,                 1.1021,              0.0051094,              0.0051094,              0.0051094
                    249,                0.58521,                0.33476,                 1.0201,                0.95515,                0.97454,                0.98728,                 0.8648,                0.62378,                 0.2641,                 1.1027,              0.0050896,              0.0050896,              0.0050896
                    250,                0.58652,                 0.3393,                 1.0215,                0.95592,                0.97191,                0.98747,                 0.8646,                0.62403,                0.26595,                 1.1032,              0.0050698,              0.0050698,              0.0050698
                    251,                0.59052,                0.33395,                 1.0183,                0.95357,                0.97182,                0.98801,                0.86404,                0.62571,                0.26661,                 1.1016,                0.00505,                0.00505,                0.00505
                    252,                0.58558,                0.32818,                 1.0223,                0.95439,                0.97198,                0.98807,                0.86382,                0.62741,                0.26673,                 1.1029,              0.0050302,              0.0050302,              0.0050302
                    253,                0.58253,                0.33018,                 1.0204,                0.95542,                0.97229,                0.98799,                  0.863,                0.62619,                0.26485,                 1.0997,              0.0050104,              0.0050104,              0.0050104
                    254,                 0.5927,                0.33102,                 1.0253,                0.96124,                0.96207,                0.98806,                0.86541,                 0.6262,                0.26349,                 1.1017,              0.0049906,              0.0049906,              0.0049906
                    255,                0.59385,                 0.3382,                 1.0265,                0.95575,                0.97318,                0.98813,                0.86476,                0.62684,                 0.2628,                 1.1019,              0.0049708,              0.0049708,              0.0049708
                    256,                0.58369,                0.32921,                 1.0155,                0.96034,                0.97193,                0.98842,                0.86493,                0.62555,                0.26219,                 1.0987,               0.004951,               0.004951,               0.004951
                    257,                0.58172,                0.33415,                 1.0144,                0.96001,                0.97306,                0.98841,                0.86419,                0.62518,                0.26278,                 1.0994,              0.0049312,              0.0049312,              0.0049312
                    258,                0.59458,                0.34009,                 1.0299,                0.95644,                0.97345,                 0.9883,                0.86516,                0.62563,                0.26238,                 1.1022,              0.0049114,              0.0049114,              0.0049114
                    259,                0.58319,                0.33268,                 1.0181,                0.95669,                0.97526,                0.98829,                0.86707,                0.62305,                0.26459,                 1.1002,              0.0048916,              0.0048916,              0.0048916
                    260,                0.57913,                0.33208,                 1.0196,                0.95946,                0.97016,                0.98811,                0.86644,                0.62291,                0.26558,                 1.1005,              0.0048718,              0.0048718,              0.0048718
                    261,                0.58379,                0.33249,                 1.0196,                0.95525,                0.97307,                 0.9885,                0.86602,                0.62238,                 0.2654,                    1.1,               0.004852,               0.004852,               0.004852
                    262,                0.58038,                0.32646,                 1.0181,                0.95282,                0.97167,                0.98823,                0.86577,                0.62221,                0.26447,                 1.1009,              0.0048322,              0.0048322,              0.0048322
                    263,                0.58019,                0.33326,                 1.0198,                0.96071,                0.96684,                0.98815,                0.86471,                0.62293,                0.26456,                 1.1011,              0.0048124,              0.0048124,              0.0048124
                    264,                0.57734,                 0.3278,                 1.0159,                 0.9597,                0.97161,                0.98871,                0.86649,                0.62288,                0.26476,                 1.1008,              0.0047926,              0.0047926,              0.0047926
                    265,                0.58608,                0.33687,                 1.0162,                0.95471,                0.96905,                0.98853,                0.86568,                0.62155,                0.26482,                 1.1009,              0.0047728,              0.0047728,              0.0047728
                    266,                0.58842,                0.33123,                 1.0258,                0.95254,                0.97096,                0.98856,                0.86617,                0.62294,                0.26163,                 1.1012,               0.004753,               0.004753,               0.004753
                    267,                0.58893,                0.33549,                 1.0204,                0.95804,                0.96747,                0.98883,                0.86811,                0.62441,                0.25946,                 1.1003,              0.0047332,              0.0047332,              0.0047332
                    268,                0.59418,                0.32541,                 1.0259,                0.96076,                0.96467,                0.98865,                0.86691,                0.62481,                0.25805,                 1.1006,              0.0047134,              0.0047134,              0.0047134
                    269,                0.58038,                 0.3259,                 1.0136,                0.95982,                 0.9683,                0.98747,                0.86508,                0.62312,                0.26094,                 1.0984,              0.0046936,              0.0046936,              0.0046936
                    270,                0.58313,                  0.325,                 1.0167,                0.96317,                0.96924,                0.98853,                0.86632,                0.62259,                0.26245,                 1.0974,              0.0046738,              0.0046738,              0.0046738
                    271,                0.58316,                0.32745,                 1.0181,                 0.9633,                0.96964,                0.98929,                0.86623,                0.62326,                0.26115,                 1.0985,               0.004654,               0.004654,               0.004654
                    272,                0.58017,                 0.3217,                 1.0147,                0.96147,                0.97077,                0.98937,                0.86652,                0.62362,                 0.2606,                  1.099,              0.0046342,              0.0046342,              0.0046342
                    273,                0.58767,                0.33692,                 1.0204,                0.95957,                0.97002,                0.98952,                0.86779,                0.62482,                0.25886,                 1.1006,              0.0046144,              0.0046144,              0.0046144
                    274,                0.57049,                0.31846,                 1.0111,                0.95731,                 0.9752,                0.98947,                0.86681,                0.62443,                0.25684,                 1.1002,              0.0045946,              0.0045946,              0.0045946
                    275,                0.57303,                0.32688,                 1.0112,                0.95973,                0.97004,                0.98951,                0.86699,                0.62301,                 0.2581,                 1.0982,              0.0045748,              0.0045748,              0.0045748
                    276,                0.58589,                0.32472,                 1.0238,                0.95289,                0.97539,                 0.9895,                0.86744,                0.62225,                0.26006,                 1.0972,               0.004555,               0.004555,               0.004555
                    277,                0.58605,                0.32987,                 1.0237,                 0.9601,                0.96838,                 0.9894,                 0.8672,                0.62202,                0.25934,                  1.098,              0.0045352,              0.0045352,              0.0045352
                    278,                0.57141,                0.32456,                  1.009,                0.95687,                0.97199,                0.98954,                0.86733,                0.62148,                0.25753,                 1.0982,              0.0045154,              0.0045154,              0.0045154
                    279,                0.57631,                0.32994,                 1.0126,                0.95706,                0.97092,                0.98963,                0.86897,                0.62188,                0.25697,                  1.099,              0.0044956,              0.0044956,              0.0044956
                    280,                0.57313,                0.33099,                 1.0143,                0.95484,                 0.9731,                0.98955,                0.86829,                0.62033,                0.25604,                 1.0972,              0.0044758,              0.0044758,              0.0044758
                    281,                0.56781,                0.32059,                 1.0073,                 0.9554,                0.97309,                0.98946,                 0.8666,                0.62061,                0.25725,                 1.0969,               0.004456,               0.004456,               0.004456
                    282,                0.57281,                 0.3205,                 1.0168,                0.96043,                0.96791,                0.98928,                0.86969,                0.62021,                0.25606,                 1.0955,              0.0044362,              0.0044362,              0.0044362
                    283,                0.57253,                0.32615,                 1.0168,                0.95758,                 0.9704,                0.98946,                0.86936,                0.62056,                0.25741,                  1.095,              0.0044164,              0.0044164,              0.0044164
                    284,                0.57541,                0.32116,                 1.0129,                0.96003,                 0.9716,                0.98959,                0.86972,                0.61883,                0.25666,                 1.0944,              0.0043966,              0.0043966,              0.0043966
                    285,                0.56808,                0.32221,                 1.0098,                0.95487,                0.97262,                0.98923,                0.86847,                0.62011,                0.25769,                 1.0964,              0.0043768,              0.0043768,              0.0043768
                    286,                0.57056,                0.32212,                 1.0125,                0.95509,                0.97078,                 0.9893,                0.86943,                0.61797,                0.25892,                 1.0953,               0.004357,               0.004357,               0.004357
                    287,                0.58377,                0.32724,                 1.0188,                0.95672,                0.97283,                0.98916,                0.86958,                0.61574,                0.25943,                 1.0928,              0.0043372,              0.0043372,              0.0043372
                    288,                0.57558,                0.32311,                 1.0128,                0.95547,                 0.9708,                0.98926,                0.86868,                0.61574,                0.26038,                 1.0935,              0.0043174,              0.0043174,              0.0043174
                    289,                0.57055,                0.31978,                 1.0094,                0.95354,                0.97188,                0.98926,                0.86825,                0.61669,                0.25957,                 1.0958,              0.0042976,              0.0042976,              0.0042976
                    290,                0.57298,                0.33074,                 1.0167,                 0.9563,                0.97024,                0.98943,                0.86785,                0.61692,                0.25843,                 1.0973,              0.0042778,              0.0042778,              0.0042778
                    291,                0.56369,                0.32213,                  1.007,                0.95815,                0.97186,                0.98921,                0.87035,                0.61534,                0.25761,                 1.0952,               0.004258,               0.004258,               0.004258
                    292,                0.57416,                0.32286,                 1.0107,                0.95763,                0.97116,                0.98904,                 0.8688,                0.61681,                0.25889,                 1.0967,              0.0042382,              0.0042382,              0.0042382
                    293,                0.57222,                0.32398,                 1.0166,                0.95773,                0.97092,                 0.9892,                0.86999,                0.61652,                   0.26,                 1.0969,              0.0042184,              0.0042184,              0.0042184
                    294,                0.57097,                 0.3177,                 1.0093,                0.95663,                0.97216,                 0.9892,                0.86934,                0.61622,                0.26176,                 1.0962,              0.0041986,              0.0041986,              0.0041986
                    295,                0.56502,                0.31991,                 1.0085,                0.95674,                0.97139,                 0.9893,                0.86931,                0.61705,                0.25971,                 1.0981,              0.0041788,              0.0041788,              0.0041788
                    296,                0.56917,                0.32214,                 1.0096,                0.95956,                0.97406,                 0.9895,                0.86923,                0.61695,                 0.2618,                  1.098,               0.004159,               0.004159,               0.004159
                    297,                0.56594,                0.32286,                 1.0118,                0.95901,                0.97182,                0.98924,                0.86868,                0.61712,                0.26146,                 1.0976,              0.0041392,              0.0041392,              0.0041392
                    298,                0.56083,                0.31847,                 1.0051,                0.95967,                 0.9717,                0.98925,                0.86898,                0.61714,                0.26246,                 1.0968,              0.0041194,              0.0041194,              0.0041194
                    299,                0.57109,                0.31959,                 1.0114,                0.96115,                0.96637,                0.98915,                0.87005,                0.61602,                0.26214,                 1.0951,              0.0040996,              0.0040996,              0.0040996
                    300,                0.56193,                0.31891,                 1.0099,                0.95977,                0.97053,                0.98922,                0.87045,                0.61573,                0.26088,                 1.0946,              0.0040798,              0.0040798,              0.0040798
                    301,                0.56051,                0.31469,                 1.0094,                0.95917,                0.97294,                0.98932,                0.87077,                0.61527,                0.25992,                 1.0943,                0.00406,                0.00406,                0.00406
                    302,                0.56117,                0.31701,                 1.0044,                0.96081,                0.96797,                  0.989,                0.87024,                0.61506,                0.26101,                 1.0949,              0.0040402,              0.0040402,              0.0040402
                    303,                0.56051,                0.31781,                 1.0038,                0.95753,                0.97209,                0.98893,                0.86985,                0.61562,                0.25871,                 1.0951,              0.0040204,              0.0040204,              0.0040204
                    304,                0.56365,                0.31729,                 1.0126,                0.95985,                0.97282,                0.98903,                0.87053,                0.61602,                0.25838,                 1.0956,              0.0040006,              0.0040006,              0.0040006
                    305,                0.55922,                0.31564,                 1.0069,                 0.9591,                0.97451,                0.98902,                0.87049,                0.61675,                0.25879,                 1.0958,              0.0039808,              0.0039808,              0.0039808
                    306,                 0.5697,                0.31186,                 1.0128,                 0.9589,                 0.9745,                0.98915,                0.87118,                0.61669,                 0.2585,                 1.0959,               0.003961,               0.003961,               0.003961
                    307,                0.56398,                 0.3167,                   1.01,                0.95948,                0.97245,                0.98909,                 0.8711,                0.61679,                0.25924,                 1.0952,              0.0039412,              0.0039412,              0.0039412
                    308,                0.55464,                0.31042,                 1.0061,                0.95924,                0.97193,                0.98877,                0.87035,                0.61663,                0.25951,                 1.0951,              0.0039214,              0.0039214,              0.0039214
                    309,                0.56367,                0.31129,                 1.0088,                0.95849,                0.97141,                0.98873,                0.87021,                0.61623,                 0.2592,                 1.0943,              0.0039016,              0.0039016,              0.0039016
                    310,                0.55653,                0.30673,                 1.0075,                0.95904,                0.97111,                0.98874,                0.86913,                0.61676,                0.25937,                 1.0949,              0.0038818,              0.0038818,              0.0038818
